Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B
13468.0439,66.3098,63.9008,13468.0439,63.8888,61.8589,13468.0439,61.7415,59.8026
13815.0967,64.4313,62.0415,13815.0967,62.0409,60.1542,13815.0967,59.6705,58.071
14169.7139,62.5952,60.3645,14169.7139,60.1749,58.4695,14169.7139,57.7055,56.5971
14532.0195,60.7655,58.6476,14532.0195,58.2799,56.8153,14532.0195,55.7588,54.9204
14902.1367,59.0105,57.0212,14902.1367,56.4299,55.1376,14902.1367,53.9353,53.3453
15280.1924,57.145,55.441,15280.1924,54.8112,53.7054,15280.1924,52.2118,51.7954
15666.3135,55.3077,53.7107,15666.3135,53.0993,52.1366,15666.3135,50.3359,50.394
16060.627,53.8139,52.2771,16060.627,51.5603,50.6507,16060.627,48.7272,49.1797
16463.2637,52.1141,50.7996,16463.2637,50.0864,49.4051,16463.2637,47.2134,47.784
16874.3535,50.6181,49.4089,16874.3535,48.4409,48.03,16874.3535,45.6533,46.4252
17294.0312,49.0191,47.8965,17294.0312,46.7223,46.6243,17294.0312,44.0655,45.1176
17722.4277,47.7337,46.6729,17722.4277,45.3696,45.3731,17722.4277,42.4901,43.8982
18159.6816,46.1009,45.4193,18159.6816,43.8406,44.0624,18159.6816,41.2069,42.7917
18605.9258,44.6626,44.0637,18605.9258,42.549,42.7944,18605.9258,39.7559,41.6228
19061.3008,43.3413,42.872,19061.3008,41.1453,41.7694,19061.3008,38.4585,40.4752
19525.9453,41.9732,41.6098,19525.9453,39.9507,40.701,19525.9453,37.063,39.1899
20000,40.5954,40.4874,20000,38.6905,39.5402,20000,35.5043,38.1445
-,-,-,-,-,-,-,-,-
