Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
12153.0684,69.3471,85.8473,11842.042,68.9809,80.7018,11842.042,67.1417,77.9684,11842.042,62.0591,72.8121
12471.0654,67.5127,84.0138,12153.0684,66.8437,79.3993,12153.0684,65.4519,75.8301,12153.0684,60.0682,70.6808
12796.1484,65.3336,81.128,12471.0654,64.9692,77.0641,12471.0654,63.3099,73.171,12471.0654,58.1522,68.3936
13128.4346,63.7551,79.0117,12796.1484,63.384,73.5085,12796.1484,61.6809,69.6312,12796.1484,56.3114,66.3015
13468.0439,61.8116,76.8006,13128.4346,61.4911,70.4829,13128.4346,60.0683,67.8529,13128.4346,54.4478,64.2551
13815.0967,59.9596,75.522,13468.0439,59.5921,69.3,13468.0439,58.5727,66.7079,13468.0439,52.6864,62.5468
14169.7139,58.4889,74.1948,13815.0967,57.8516,67.6843,13815.0967,56.9182,64.4147,13815.0967,51.0087,60.3454
14532.0195,56.9477,72.4071,14169.7139,56.2143,65.0576,14169.7139,55.4739,62.53,14169.7139,49.332,58.7258
14902.1367,55.443,69.4765,14532.0195,54.563,63.8356,14532.0195,53.8971,61.7975,14532.0195,47.6458,57.0984
15280.1924,53.8993,67.7006,14902.1367,53.2399,63.0934,14902.1367,52.4879,60.2702,14902.1367,46.1146,55.3537
15666.3135,52.4796,65.3739,15280.1924,51.9395,61.8939,15280.1924,50.8709,58.3301,15280.1924,44.5248,53.4605
16060.627,50.9963,63.3289,15666.3135,50.5551,59.0835,15666.3135,49.3516,55.9011,15666.3135,43.1062,51.5831
16463.2637,49.542,61.5062,16060.627,49.1942,56.9722,16060.627,48.0186,55.1607,16060.627,41.622,50.6334
16874.3535,48.0477,60.1199,16463.2637,47.5303,56.4293,16463.2637,47.0928,54.5882,16463.2637,40.1694,48.688
17294.0312,46.6278,59.5458,16874.3535,46.3969,56.0429,16874.3535,45.6585,52.9,16874.3535,38.7191,47.2536
17722.4277,45.6444,58.3153,17294.0312,45.4716,54.7978,17294.0312,44.2635,51.7577,17294.0312,37.3656,46.0521
18159.6816,44.4283,56.4762,17722.4277,43.7321,52.5905,17722.4277,43.5764,49.9858,17722.4277,36.0343,44.5828
18605.9258,42.9706,54.4839,18159.6816,42.942,51.0138,18159.6816,41.9488,48.6435,18159.6816,34.5716,43.5223
19061.3008,42.0092,53.5985,18605.9258,41.5611,50.0247,18605.9258,41.5385,48.211,18605.9258,33.44,42.4579
19525.9453,40.8973,53.2245,19061.3008,40.5817,49.451,19061.3008,39.7745,47.9065,19061.3008,32.0529,40.7171
20000,39.533,52.3117,19525.9453,39.428,48.9348,19525.9453,39.3386,47.5237,19525.9453,30.922,40.3793
,,,20000,38.4101,47,20000,37.7715,47,20000,29.5632,39.098
-,-,-,-,-,-,-,-,-,-,-,-
