Voltage(mv),490-A,490-B,Voltage(mv),544-A,544-B,Voltage(mv),633-A,633-B
19095,48.543,46.995,19095,47.982,45.544,19095,43.369,39.168
19196,48.332,46.514,19196,47.769,44.985,19196,43.037,38.943
19296,48.122,46.033,19296,47.557,44.425,19296,42.705,38.717
19397,47.912,45.552,19397,47.344,43.866,19397,42.372,38.492
19497,47.702,45.071,19497,47.132,43.307,19497,42.04,38.267
19598,47.458,44.747,19598,46.808,42.898,19598,41.733,38.074
19698,47.202,44.485,19698,46.44,42.549,19698,41.437,37.894
19799,46.946,44.223,19799,46.071,42.2,19799,41.14,37.714
19899,46.69,43.961,19899,45.703,41.85,19899,40.843,37.534
20000,46.434,43.699,20000,45.335,41.501,20000,40.546,37.355
-,-,-,-,-,-,-,-,-
