Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
16463.2637,84.5399,58.3459,16060.627,77.3666,57.2804,15666.3135,79.2699,55.5934,15666.3135,73.3794,47.4159
16874.3535,81.2774,56.3861,16463.2637,76.3175,55.5466,16060.627,77.052,53.1267,16060.627,71.3114,45.8784
17294.0312,79.0213,54.1751,16874.3535,74.724,52.6526,16463.2637,74.4983,51.0588,16463.2637,69.2449,44.3798
17722.4277,76.8932,52.4179,17294.0312,71.2046,51.0346,16874.3535,72.6616,50.0607,16874.3535,67.2752,42.8045
18159.6816,74.8367,51.6946,17722.4277,69.7211,50.2361,17294.0312,72.084,49.6209,17294.0312,65.6241,40.789
18605.9258,72.0462,50.546,18159.6816,69.1578,49.9701,17722.4277,69.6596,48.6977,17722.4277,63.777,39.4643
19061.3008,70.783,49.2701,18605.9258,67.8064,49.166,18159.6816,66.7411,46.6641,18159.6816,62.0229,37.6308
19525.9453,69.2258,47.7299,19061.3008,64.2927,47.1811,18605.9258,65.0285,43.6051,18605.9258,60.0426,36.2262
20000,66.9686,44.5749,19525.9453,61.9063,43.7068,19061.3008,64.3654,41.9379,19061.3008,58.1336,35.0104
,,,20000,61.626,41.8723,19525.9453,62.7136,40.6221,19525.9453,56.8087,32.3733
,,,,,,20000,61.1003,40.043,20000,55.0366,31.7218
-,-,-,-,-,-,-,-,-,-,-,-
